Postcode 1,Local Authority Code,Local Authority Name
CB39JR,E07000008,Cambridge
GU227RY,E07000217,Woking
BA112UH,E07000187,Mendip
CH602ST,E08000015,Wirral
NR95RQ,E07000143,Breckland
GU227SN,E07000217,Woking
SE83FQ,E09000023,Lewisham
DA81FP,E09000004,Bexley
HA26AQ,E09000015,Harrow
E161FA,E09000025,Newham
GU170EB,E07000089,Hart
CH638PJ,E08000015,Wirral
EX176DG,E07000042,Mid Devon
BA35JN,E07000187,Mendip
RM26DG,E09000016,Havering
PE322FA,E07000143,Breckland
EX29EG,E07000041,Exeter
GU515SN,E07000089,Hart
RM13SL,E09000016,Havering
PO9 5QA,E07000090,Havant
PO155NU,E07000087,Fareham
CR01SQ,E09000008,Croydon
NR134HW,E07000144,Broadland
RH101HP,E07000226,Crawley
